id	filename	md5	size	state
72488acf-a260-459c-a788-598e1e6d8b63	7796806125_R04C02_Grn.idat	31890f2a80d6862555097110aaf173eb	8095232	live
385e0e2e-2b24-4562-8571-cc411fd61291	9934625029_R04C01_Red.idat	d319eaf8943b3e880e44d80bdf17e1d2	8095280	live
ee4ae8fe-e7c8-4757-83b5-bbbb43b8af03	6285650036_R05C01_Grn.idat	1adac41d40bd3f768cc5de1bcb0da6aa	8095260	live
f9642fdd-cf27-4304-82a9-50057bf2b481	8795194078_R04C01_Grn.idat	b54093eeb8ce4e45d675c9224b820194	8095266	live
276afaa2-0dd6-4fd7-b8f8-b0d5288d438c	9296931048_R06C01_Grn.idat	488394f4553a1e706cbdb00b58bf625f	8095250	live
bb662e30-5d81-4397-a7bf-dfbbde113b11	6042308103_R03C02_Red.idat	773f84f94036848c8758ec555132dbd0	8091452	live
dda88c82-1d6e-48fd-934a-cdb93b27bc28	7310440049_R03C02_Red.idat	75c9b71aed34ec5c07a4b68b26419f35	8095252	live
26816bd6-007a-4538-854b-f06ae6eee50b	6285609049_R02C02_Grn.idat	094956ee98d1a93fd79cd33701098978	8095257	live
a9b8304f-78de-4557-9c47-2c7772ba8e84	9828653011_R04C01_Grn.idat	d1f9f9af1b39e87050608766b5a2a760	8095264	live
b939cfee-feb4-47d8-b6d5-1b0313521918	6285625068_R05C02_Grn.idat	38ad77d887c8a013c19932903e3334c8	8095279	live
b2c75251-f994-4e21-b223-b6adccdbf22e	7796806104_R01C01_Grn.idat	67bec7f5da267be58355b9ba175a1f31	8095270	live
61fd0e2f-cae4-4313-8e57-3c758a08816a	3999492031_R01C01_Red.idat	7492609d4ad80f6b59ea87b127925a4f	8095284	live
9a82961d-2936-4763-8422-5df94b07e6a3	7786923105_R05C01_Grn.idat	1c2aa0cf6ae37a8415a8d726ed09b024	8095248	live
dd743945-9dd1-4edf-b0fd-c0be3e748909	7786923093_R02C01_Grn.idat	e09345dff6a418d81dd832b9dd755e65	8095247	live
b781e816-c803-4b55-a68c-7cf2aa5209fe	6042324058_R05C02_Grn.idat	54eeaa4d016697489a4c248aff02d1d1	8095277	live
2de05abe-1f1d-4ffa-b372-c0ef908a32da	7786923079_R06C02_Red.idat	9d79a6d397f9c416f173aeea33284ccf	8095274	live
7b134c4c-dc07-4ba9-8ba2-0f019f93c522	9422492052_R04C01_Grn.idat	963f8b9061df2dca9e4844e96189178a	8095287	live
